Subsystem,Tag,NodeId pattern,Implementation status,Control owner,Normal authority,Multiplicity,Authoritative/current source,Production exposure,Allowed states,Alarm class,Interlock relevance,DCS access,Poll ms,History rate
Authority,SlowControlsPermit,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.SlowControlsPermit,REQUIRED PRODUCTION,Slow Controls / DPS,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,DpsPermit,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DpsPermit,REQUIRED PRODUCTION,Slow Controls / DPS,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ExternalConstraintRevision,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ExternalConstraintRevision,REQUIRED PRODUCTION,Slow Controls / DPS,SC/DPS supplies the scoped admission decision; the PDS gateway consumes it read-only and enforces the applicable guard,one per DAPHNE board,Approved site-specific interaction matrix and SC/DPS interface,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ExternalConstraintStateFresh,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ExternalConstraintStateFresh,REQUIRED PRODUCTION,Slow Controls / DPS,SC/DPS supplies the scoped admission decision; the PDS gateway consumes it read-only and enforces the applicable guard,one per DAPHNE board,Approved site-specific interaction matrix and SC/DPS interface,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ExternalActivityPermit,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ExternalActivityPermit,REQUIRED PRODUCTION,Slow Controls / DPS,SC/DPS supplies the scoped admission decision; the PDS gateway consumes it read-only and enforces the applicable guard,one per DAPHNE board,Approved site-specific interaction matrix and SC/DPS interface,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ExternalActivityConflict,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ExternalActivityConflict,REQUIRED PRODUCTION,Slow Controls / DPS,SC/DPS supplies the scoped admission decision; the PDS gateway consumes it read-only and enforces the applicable guard,one per DAPHNE board,Approved site-specific interaction matrix and SC/DPS interface,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,SafeStateActive,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.SafeStateActive,REQUIRED PRODUCTION,Slow Controls / DPS,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,MaintenanceLock,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.MaintenanceLock,REQUIRED PRODUCTION,Slow Controls / DPS,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,LastOvertakeReason,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.LastOvertakeReason,REQUIRED PRODUCTION,Slow Controls / DPS,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,RecoveryRequired,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RecoveryRequired,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Command Audit,LastCommandId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandId,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandName,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandName,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandClass,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandClass,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandRequester,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRequester,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandAuthority,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandAuthority,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandRoute,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRoute,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandCorrelationId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandCorrelationId,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandRequestTime,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRequestTime,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandCompletionTime,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandCompletionTime,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandState,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandState,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandResult,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandResult,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Command Audit,LastCommandReadbackVerified,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandReadbackVerified,REQUIRED PRODUCTION,Board service (shared audit),Command broker,one per DAPHNE board,Production command-audit contract,Baseline DCS,All states,Audit,No,Read-Only,1000,On-Change
Identity,BoardId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.BoardId,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB / deployment inventory,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,HardwareDatabaseId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.HardwareDatabaseId,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,AssetTag,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.AssetTag,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB + physical label,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,Detector,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.Detector,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,DetectorVariant,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.DetectorVariant,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,GeographicLocation,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.GeographicLocation,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,SomProduct,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomProduct,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,K26 EEPROM 0x50,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,SomSerial,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomSerial,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,K26 EEPROM 0x50,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,SomUuid,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomUuid,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,K26 EEPROM 0x50,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,CarrierRevision,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.CarrierRevision,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB + asset record,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,FactoryMac,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.FactoryMac,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,K26 EEPROM 0x50,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,ApprovedMac,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.ApprovedMac,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB / network authority,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,MacIdentityMatch,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.MacIdentityMatch,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,Derived identity check,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,Hostname,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.Hostname,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,Linux + board configuration,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,ExpectedHostname,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.ExpectedHostname,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,HWDB / deployment inventory,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,HostnameMatch,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.HostnameMatch,REQUIRED PRODUCTION,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,Derived identity check,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,TimingEndpointAddress,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.TimingEndpointAddress,REQUIRED PRODUCTION,DAQ / DTS,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,endpointControl.ADDRESS / board inventory,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,CrateId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.CrateId,LOCAL READABLE,DAQ,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,FpgaRegDict.idCrate,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,SlotId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SlotId,LOCAL READABLE,DAQ,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,FpgaRegDict.idSlot,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,LinkId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.LinkId,LOCAL READABLE,DAQ,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,FpgaRegDict.idLink,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,DetectorId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.DetectorId,LOCAL READABLE,DAQ,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,FpgaRegDict.idDetector,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Identity,RegisterMapVersion,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.RegisterMapVersion,LOCAL READABLE,HWDB / network authority; SC monitors,Read-only; expected values owned by HWDB/network authority,one per DAPHNE board,FpgaRegDict.idVersion,Baseline DCS,All states,Configuration mismatch,No,Read-Only,60000,On-Change
Management Network,Name,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.Name,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,MacAddress,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.MacAddress,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,PermanentMacAddress,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.PermanentMacAddress,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,Ipv4Address,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.Ipv4Address,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,PrefixLength,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.PrefixLength,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,DefaultGateway,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.DefaultGateway,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,DnsServers,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.DnsServers,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,VlanId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.VlanId,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,OperationalState,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.OperationalState,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,Carrier,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.Carrier,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,10000,On-Change
Management Network,SpeedMbps,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.SpeedMbps,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,Duplex,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.Duplex,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,On-Change
Management Network,MtuBytes,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.MtuBytes,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,RxBytes,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.RxBytes,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,RxPackets,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.RxPackets,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,RxErrors,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.RxErrors,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,RxDropped,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.RxDropped,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,TxBytes,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.TxBytes,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
Management Network,TxPackets,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Network.Interfaces.{Interface}.TxPackets,REQUIRED PRODUCTION,Slow Controls,Read-only; network assignment owned externally,per interface; baseline instance eth0,Linux rtnetlink/sysfs plus HWDB/network inventory,Baseline DCS,All states,Network health,No,Read-Only,30000,10000
