Subsystem,Signal / Tag Name,Description,OPC-UA Node Address,Data Type,Eng Units,Signal Source,Scaling / Derivation,Sensor Span Min,Sensor Span Max,Nominal Value,Desired Range Min,Desired Range Max,Low Interlock (Trip),Low-Low,Low,High,High-High,High Interlock (Trip),Alarm Deadband / Hysteresis,Alarm On-Delay (s),Interlock Action,DCS Access,Historize?,Min Historization Rate (ms),Poll / Scan Rate (ms),Notes,Control Owner
Authority,AuthorityLeaseExpiresAt,"Expiry of the active board-side serialization token, if leases are used.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.AuthorityLeaseExpiresAt,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Authority,DetectorState,Detector/run-control state used by the command gate.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DetectorState,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,RunNumber,DAQ run number associated with the active configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RunNumber,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,RunType,"Physics, Noise, Calibration, Commissioning, or Maintenance run classification.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RunType,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,ConfigurationRevision,Versioned DAQ/PDS configuration revision applied to the board.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationRevision,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,ConfigurationHash,Digest of the effective configuration after expansion and defaults.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationHash,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,ConfigurationValid,"Effective configuration is complete, acknowledged, and valid for the current state.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationValid,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,DaqConfigureAllowed,All SC/DPS permits and state guards allow a DAQ-role OPC-UA configuration request.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DaqConfigureAllowed,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Authority,SlowControlsPermit,Slow-controls operational permit presented to the authority gate.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.SlowControlsPermit,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Slow Controls / DPS,Slow Controls / DPS
Authority,DpsPermit,Detector-protection permit presented to the authority gate.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DpsPermit,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Slow Controls / DPS,Slow Controls / DPS
Authority,SafeStateActive,Board or upstream supplies are in the agreed safe state.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.SafeStateActive,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Slow Controls / DPS,Slow Controls / DPS
Authority,MaintenanceLock,Routine DAQ and SC writes are blocked for expert maintenance.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.MaintenanceLock,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Slow Controls / DPS,Slow Controls / DPS
Authority,LastOvertakeReason,Reason DAQ authority was removed or superseded by a safe-state/inhibit action.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.LastOvertakeReason,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Slow Controls / DPS,Slow Controls / DPS
Authority,RecoveryRequired,A fresh DAQ configuration through the OPC-UA gateway is required before data taking can resume.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RecoveryRequired,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=DAQ,DAQ
Command Audit,LastCommandId,Opaque identifier of the latest accepted or rejected mutation.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandName,Canonical name of the latest mutating request.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandName,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandClass,"DAQ, SC, expert, or protection command class.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandClass,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandRequester,Authenticated user or service identity that requested the mutation.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRequester,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandAuthority,Authority held when the request was evaluated.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandAuthority,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandRoute,Logical board/mezzanine/AFE/channel route used for the request.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRoute,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandCorrelationId,Transport correlation identifier for request/reply audit.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandCorrelationId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandRequestTime,UTC source time at request receipt.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandRequestTime,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandCompletionTime,UTC source time at terminal completion.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandCompletionTime,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandState,"Rejected, Accepted, Running, Succeeded, Failed, or TimedOut.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandState,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandResult,Bounded completion or rejection detail.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandResult,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Command Audit,LastCommandReadbackVerified,Required physical/readback postcondition was verified.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Operations.LastCommandReadbackVerified,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Command broker | INSTANCE=one per DAPHNE board | SOURCE=Production command-audit contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Audit | INTERLOCK=No | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Identity,BoardId,Stable DAPHNE board identifier used in the OPC-UA instance path.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.BoardId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB / deployment inventory | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,HardwareDatabaseId,Canonical HWDB component identifier.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.HardwareDatabaseId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,AssetTag,Scanned DAPHNE carrier asset label.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.AssetTag,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB + physical label | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,Detector,Installed detector/module identity.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.Detector,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,DetectorVariant,HD or VD channel/mezzanine profile.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.DetectorVariant,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,GeographicLocation,Controlled geographic name for rack/crate/slot placement.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.GeographicLocation,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,SomProduct,K26 SOM product decoded from EEPROM.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomProduct,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=LOCAL READABLE | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=K26 EEPROM 0x50 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,SomSerial,K26 SOM serial decoded from EEPROM.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomSerial,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=LOCAL READABLE | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=K26 EEPROM 0x50 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,SomUuid,K26 SOM UUID decoded from EEPROM.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.SomUuid,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=LOCAL READABLE | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=K26 EEPROM 0x50 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
Identity,CarrierRevision,DAPHNE carrier revision; no carrier FRU is populated.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Identity.CarrierRevision,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,60000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; expected values owned by HWDB/network authority | INSTANCE=one per DAPHNE board | SOURCE=HWDB + asset record | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Configuration mismatch | INTERLOCK=No | CONTROL_OWNER=HWDB / network authority; SC monitors,HWDB / network authority; SC monitors
